"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 06 19:23:25 CET 2021","Wed Jan 06 19:23:26 CET 2021","1092","","sample_test.RetrofitTest","","sample_test.RetrofitTest","testGitHubRepos","testGitHubRepos()",""
"failed","Tue Jan 05 06:16:11 CET 2021","Tue Jan 05 06:16:31 CET 2021","19700","","sample_test.SelenideTest","","sample_test.SelenideTest","testGitHub","testGitHub()",""
